name,set_name,rarity,primary_type,cmc,usd_price,edhrec_rank,legal_formats_count,value_score,reserved,game_changer,reprint
Cyclonic Rift,Secrets of Strixhaven Mystical Archive,mythic,Instant,2.0,28.71,50.0,12,85.0,0,1,1
Undercity Sewers,Teenage Mutant Ninja Turtles Source Material,mythic,Land,0.0,8.85,432.0,15,81.0,0,0,1
"Evendo, Waking Haven",Edge of Eternities,mythic,Land,0.0,15.42,1380.0,15,80.0,0,0,0
Mount Doom,The Lord of the Rings: Tales of Middle-earth,mythic,Land,0.0,8.7,1169.0,11,79.5,0,0,0
"Liliana, Dreadhorde General",War of the Spark,mythic,Planeswalker,6.0,8.12,748.0,16,79.0,0,0,0
Agatha's Soul Cauldron,Wilds of Eldraine,mythic,Artifact,2.0,32.95,1382.0,14,79.0,0,0,0
The Soul Stone,Marvel's Spider-Man,mythic,Artifact,2.0,68.51,1472.0,15,78.0,0,0,0
Buster Sword,Final Fantasy,mythic,Artifact,3.0,39.31,1216.0,15,78.0,0,0,0
"Valgavoth, Terror Eater",Duskmourn: House of Horror Promos,mythic,Creature,9.0,12.97,1455.0,15,78.0,0,0,0
Cavern of Souls,The Lost Caverns of Ixalan Promos,mythic,Land,0.0,45.66,113.0,13,77.5,0,0,1
"Mondrak, Glory Dominus",Phyrexia: All Will Be One Promos,mythic,Creature,4.0,38.09,404.0,11,77.5,0,0,0
"Helga, Skittish Seer",Bloomburrow,mythic,Creature,3.0,3.37,4368.0,15,77.0,0,0,0
"Lumra, Bellow of the Woods",Bloomburrow,mythic,Creature,6.0,18.68,1203.0,15,77.0,0,0,0
"Nicol Bolas, Dragon-God",War of the Spark,mythic,Planeswalker,5.0,2.93,4279.0,12,77.0,0,0,0
"Adagia, Windswept Bastion",Edge of Eternities,mythic,Land,0.0,4.99,2158.0,15,77.0,0,0,0
"Xenagos, the Reveler",Theros,mythic,Planeswalker,4.0,1.3,4541.0,12,77.0,0,0,0
Nissa of Shadowed Boughs,Zendikar Rising,mythic,Planeswalker,4.0,1.4,4919.0,12,77.0,0,0,0
Beseech the Mirror,Wilds of Eldraine,mythic,Sorcery,4.0,21.57,903.0,14,77.0,0,0,0
"Calix, Destiny's Hand",Theros Beyond Death,mythic,Planeswalker,4.0,1.14,4569.0,12,77.0,0,0,0
