name,set_name,rarity,usd_price,value_score,edhrec_rank
Cyclonic Rift,Secrets of Strixhaven Mystical Archive,mythic,28.71,85.0,50.0
Undercity Sewers,Teenage Mutant Ninja Turtles Source Material,mythic,8.85,81.0,432.0
"Evendo, Waking Haven",Edge of Eternities,mythic,15.42,80.0,1380.0
Mount Doom,The Lord of the Rings: Tales of Middle-earth,mythic,8.7,79.5,1169.0
Agatha's Soul Cauldron,Wilds of Eldraine,mythic,32.95,79.0,1382.0
"Liliana, Dreadhorde General",War of the Spark,mythic,8.12,79.0,748.0
The Soul Stone,Marvel's Spider-Man,mythic,68.51,78.0,1472.0
Buster Sword,Final Fantasy,mythic,39.31,78.0,1216.0
"Valgavoth, Terror Eater",Duskmourn: House of Horror Promos,mythic,12.97,78.0,1455.0
Cavern of Souls,The Lost Caverns of Ixalan Promos,mythic,45.66,77.5,113.0
"Mondrak, Glory Dominus",Phyrexia: All Will Be One Promos,mythic,38.09,77.5,404.0
Beseech the Mirror,Wilds of Eldraine,mythic,21.57,77.0,903.0
"Lumra, Bellow of the Woods",Bloomburrow,mythic,18.68,77.0,1203.0
"Adagia, Windswept Bastion",Edge of Eternities,mythic,4.99,77.0,2158.0
"Helga, Skittish Seer",Bloomburrow,mythic,3.37,77.0,4368.0
"Nicol Bolas, Dragon-God",War of the Spark,mythic,2.93,77.0,4279.0
Nissa of Shadowed Boughs,Zendikar Rising,mythic,1.4,77.0,4919.0
"Xenagos, the Reveler",Theros,mythic,1.3,77.0,4541.0
"Calix, Destiny's Hand",Theros Beyond Death,mythic,1.14,77.0,4569.0
"Sheoldred, the Apocalypse",Dominaria United,mythic,74.27,76.5,458.0
